metric,google_corr,naver_corr
avg_view_count,0.5035877090970381,-0.20612896851800502
avg_views_per_day,0.5835128260163255,-0.15166082728076344
million_view_ratio,0.34843432294270194,-0.38733578762287285
avg_like_count,0.4486770768902787,-0.2327290582778656
avg_comment_count,0.4556382843923419,-0.10173842438055031
