keyword,category,collected_comment_count,commented_video_count,avg_comment_like_count,avg_reply_count,avg_comment_text_length
삼성,IT/경제,10854,10,102.95365763773724,0.9091579141330385,38.30477243412567
선거,정치/사회,10084,9,116.64111463704879,1.291352637842126,40.53341927806426
서울,지역,9209,9,81.51047887935715,1.1766749918557933,38.1115213378217
부산,지역,5068,6,43.54735595895817,0.5698500394632992,36.30011838989739
대통령,정치/사회,4163,4,134.81840019216912,0.723036271919289,36.93706461686284
충주,지역,3499,3,133.44869962846528,0.8228065161474707,32.52900828808231
AI,IT/경제,3076,3,37.857282184655396,1.1631989596879064,122.6371911573472
거제,지역,2530,2,537.4446640316205,2.8035573122529645,42.018972332015814
리센느,엔터/문화,2516,2,543.3445945945946,3.29610492845787,35.35015898251192
르세라핌,엔터/문화,2501,2,125.18232706917233,1.3982407037185125,44.724110355857654
에스파,엔터/문화,2486,2,182.58165728077233,1.9593724859211585,43.56918744971842
대통령,5637.0,1198,1,38.242904841402336,0.7746243739565943,58.48414023372287
엔비디아,IT/경제,1147,1,60.46381865736704,1.1429816913687882,114.3225806451613
환율,IT/경제,1040,1,50.285576923076924,1.4990384615384615,42.61730769230769
국회,정치/사회,1038,1,92.13391136801542,0.7967244701348748,28.03082851637765
여론조사,정치/사회,815,1,24.044171779141106,0.8147239263803681,42.23558282208589
