category,keyword_count,video_count,avg_view_count,median_view_count,avg_like_count,avg_comment_count,million_view_count,avg_views_per_day,median_views_per_day,million_view_ratio
엔터/문화,5,149,3225322.8066666666,2293298.0,56789.29931972789,1807.1466666666668,125,252232.77481550246,157464.5,0.8389261744966443
정치/사회,5,148,1422559.94,1290169.0,39716.56375838926,2098.3691275167785,91,206433.47046917205,140035.0,0.6148648648648649
IT/경제,5,148,2976689.8733333335,1121850.0,42718.99310344827,1781.6644295302012,81,301490.53011759993,98708.95454545454,0.5472972972972973
지역,5,150,1384853.4866666666,1269458.0,27694.11724137931,2000.5266666666666,86,158769.06417743227,95798.57142857143,0.5733333333333334
